format,model,count,name,fileName,prompt,reqItemCount,itemCount,contentLength,executionTime
json,gemini-1.5-pro-001,-1,animal,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/Animal Icons.jpg,"Return all animals in this image, including name and description.",-1,68,8009,44843.507100999355
yaml,gemini-1.5-pro-001,-1,animal,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/Animal Icons.jpg,"Return all animals in this image, including name and description.",-1,414,13431,86134.92005699873
json,gemini-1.5-pro-001,1,animal,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/Animal Icons.jpg,"Return all animals in this image, including name and description.",1,1,156,3154.0285789966583
yaml,gemini-1.5-pro-001,1,animal,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/Animal Icons.jpg,"Return all animals in this image, including name and description.",1,,140,3220.669592022896
json,gemini-1.5-pro-001,5,animal,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/Animal Icons.jpg,"Return all animals in this image, including name and description.",5,5,632,5815.198557972908
yaml,gemini-1.5-pro-001,5,animal,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/Animal Icons.jpg,"Return all animals in this image, including name and description.",5,8,524,4901.7601789832115
json,gemini-1.5-pro-001,10,animal,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/Animal Icons.jpg,"Return all animals in this image, including name and description.",10,10,1222,8655.955516040325
yaml,gemini-1.5-pro-001,10,animal,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/Animal Icons.jpg,"Return all animals in this image, including name and description.",10,36,913,6166.994255959988
json,gemini-1.5-pro-001,20,animal,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/Animal Icons.jpg,"Return all animals in this image, including name and description.",20,19,2269,14464.868593990803
yaml,gemini-1.5-pro-001,20,animal,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/Animal Icons.jpg,"Return all animals in this image, including name and description.",20,,678,5904.727890968323
json,gemini-1.5-flash-001,-1,animal,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/Animal Icons.jpg,"Return all animals in this image, including name and description.",-1,68,6926,20728.96896803379
yaml,gemini-1.5-flash-001,-1,animal,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/Animal Icons.jpg,"Return all animals in this image, including name and description.",-1,248,4909,12188.761688053608
json,gemini-1.5-flash-001,1,animal,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/Animal Icons.jpg,"Return all animals in this image, including name and description.",1,1,92,2671.927310049534
yaml,gemini-1.5-flash-001,1,animal,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/Animal Icons.jpg,"Return all animals in this image, including name and description.",1,4,67,2684.385720014572
json,gemini-1.5-flash-001,5,animal,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/Animal Icons.jpg,"Return all animals in this image, including name and description.",5,5,424,3256.226213991642
yaml,gemini-1.5-flash-001,5,animal,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/Animal Icons.jpg,"Return all animals in this image, including name and description.",5,21,329,3070.8161320090294
json,gemini-1.5-flash-001,10,animal,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/Animal Icons.jpg,"Return all animals in this image, including name and description.",10,10,1021,5099.768941998482
yaml,gemini-1.5-flash-001,10,animal,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/Animal Icons.jpg,"Return all animals in this image, including name and description.",10,38,659,3629.0525190234184
json,gemini-1.5-flash-001,20,animal,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/Animal Icons.jpg,"Return all animals in this image, including name and description.",20,20,2096,7512.382932007313
yaml,gemini-1.5-flash-001,20,animal,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/Animal Icons.jpg,"Return all animals in this image, including name and description.",20,72,1288,5152.602635979652
json,gemini-1.5-pro-001,-1,menu,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/McDonalds-menu.jpg,"Return all menu items in this image, including name, description and price.",-1,32,3078,27634.479809999466
yaml,gemini-1.5-pro-001,-1,menu,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/McDonalds-menu.jpg,"Return all menu items in this image, including name, description and price.",-1,,2741,23379.42292100191
json,gemini-1.5-pro-001,1,menu,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/McDonalds-menu.jpg,"Return all menu items in this image, including name, description and price.",1,1,119,4035.9067029953003
yaml,gemini-1.5-pro-001,1,menu,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/McDonalds-menu.jpg,"Return all menu items in this image, including name, description and price.",1,3,72,3829.947327017784
json,gemini-1.5-pro-001,5,menu,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/McDonalds-menu.jpg,"Return all menu items in this image, including name, description and price.",5,5,563,7434.426614999771
yaml,gemini-1.5-pro-001,5,menu,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/McDonalds-menu.jpg,"Return all menu items in this image, including name, description and price.",5,29,336,5844.449198007584
json,gemini-1.5-pro-001,10,menu,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/McDonalds-menu.jpg,"Return all menu items in this image, including name, description and price.",10,10,1136,11059.46390402317
yaml,gemini-1.5-pro-001,10,menu,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/McDonalds-menu.jpg,"Return all menu items in this image, including name, description and price.",10,62,727,8826.857068002224
json,gemini-1.5-pro-001,20,menu,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/McDonalds-menu.jpg,"Return all menu items in this image, including name, description and price.",20,20,2208,18375.600479006767
yaml,gemini-1.5-pro-001,20,menu,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/McDonalds-menu.jpg,"Return all menu items in this image, including name, description and price.",20,,1366,13494.667594969273
json,gemini-1.5-flash-001,-1,menu,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/McDonalds-menu.jpg,"Return all menu items in this image, including name, description and price.",-1,32,3082,13697.487958014011
yaml,gemini-1.5-flash-001,-1,menu,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/McDonalds-menu.jpg,"Return all menu items in this image, including name, description and price.",-1,180,2279,10366.954102993011
json,gemini-1.5-flash-001,1,menu,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/McDonalds-menu.jpg,"Return all menu items in this image, including name, description and price.",1,1,90,4056.6588730216026
yaml,gemini-1.5-flash-001,1,menu,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/McDonalds-menu.jpg,"Return all menu items in this image, including name, description and price.",1,6,69,3434.491515994072
json,gemini-1.5-flash-001,5,menu,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/McDonalds-menu.jpg,"Return all menu items in this image, including name, description and price.",5,5,476,5118.535299003124
yaml,gemini-1.5-flash-001,5,menu,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/McDonalds-menu.jpg,"Return all menu items in this image, including name, description and price.",5,28,383,4874.595830976963
json,gemini-1.5-flash-001,10,menu,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/McDonalds-menu.jpg,"Return all menu items in this image, including name, description and price.",10,10,979,6728.735332965851
yaml,gemini-1.5-flash-001,10,menu,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/McDonalds-menu.jpg,"Return all menu items in this image, including name, description and price.",10,54,667,5151.481584012508
json,gemini-1.5-flash-001,20,menu,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/McDonalds-menu.jpg,"Return all menu items in this image, including name, description and price.",20,20,1898,10652.665690004826
yaml,gemini-1.5-flash-001,20,menu,/home/lizozom/Projects/google-hackathon/llm-output-benchmark/images/McDonalds-menu.jpg,"Return all menu items in this image, including name, description and price.",20,116,1396,7575.433255970478
